NAME,TYPE,LOCATION,
"az104-06-appgw5","Application gateway","East US"
"az104-06-lb4","Load balancer","East US"
"az104-06-nic0","Network Interface","East US"
"az104-06-nic1","Network Interface","East US"
"az104-06-nic2","Network Interface","East US"
"az104-06-nic3","Network Interface","East US"
"az104-06-nsg01","Network security group","East US"
"az104-06-nsg2","Network security group","East US"
"az104-06-nsg3","Network security group","East US"
"az104-06-pip4","Public IP address","East US"
"az104-06-pip5","Public IP address","East US"
"az104-06-rt23","Route table","East US"
"az104-06-rt32","Route table","East US"
"az104-06-vm0","Virtual machine","East US"
"az104-06-vm0_OsDisk_1_886df746dcf54da8bbbbe979b929cb0b","Disk","East US"
"az104-06-vm1","Virtual machine","East US"
"az104-06-vm1_OsDisk_1_f90837c825ff4d0d89469641c130353e","Disk","East US"
"az104-06-vm2","Virtual machine","East US"
"az104-06-vm2_OsDisk_1_e1b94f0e55434f1293848ad91dd0db98","Disk","East US"
"az104-06-vm3","Virtual machine","East US"
"az104-06-vm3_OsDisk_1_07db40d51eef437da612c14f1285d175","Disk","East US"
"az104-06-vnet01","Virtual network","East US"
"az104-06-vnet2","Virtual network","East US"
"az104-06-vnet3","Virtual network","East US"